Date,Season_year,ThreePointPercentage,PTS
4/22/2006,2006,0.25,32
4/25/2006,2006,0.167,26
4/28/2006,2006,0.6,41
4/30/2006,2006,0.583,38
5/3/2006,2006,0,45
5/5/2006,2006,0.167,32
5/7/2006,2006,0.4,22
5/9/2006,2006,0.4,30
5/13/2006,2006,0.25,21
5/15/2006,2006,0.5,22
5/17/2006,2006,0.25,32
5/19/2006,2006,0.2,32
5/21/2006,2006,0,27
4/22/2007,2007,0,23
4/25/2007,2007,0,27
4/28/2007,2007,0.6,30
4/30/2007,2007,0.2,31
5/6/2007,2007,0.25,21
5/8/2007,2007,0.429,36
5/12/2007,2007,0.2,18
5/14/2007,2007,0.667,30
5/16/2007,2007,0,20
5/18/2007,2007,0.2,23
5/24/2007,2007,0,19
5/27/2007,2007,0.667,32
5/29/2007,2007,0.2,25
5/31/2007,2007,0.667,48
6/2/2007,2007,0,20
6/7/2007,2007,0.333,14
6/10/2007,2007,0,25
6/12/2007,2007,0,25
6/14/2007,2007,0.286,24
4/19/2008,2008,0,32
4/21/2008,2008,0.333,30
4/24/2008,2008,0,22
4/27/2008,2008,0.375,34
4/30/2008,2008,0.333,34
5/2/2008,2008,0.5,27
5/6/2008,2008,0,12
5/8/2008,2008,0,21
5/10/2008,2008,0.6,21
5/12/2008,2008,0.4,21
5/14/2008,2008,0,35
5/16/2008,2008,0.333,32
5/18/2008,2008,0.273,45
4/18/2009,2009,0.25,38
4/21/2009,2009,0.4,29
4/24/2009,2009,0,25
4/26/2009,2009,0,36
5/5/2009,2009,0.333,34
5/7/2009,2009,0.6,27
5/9/2009,2009,0.5,47
5/11/2009,2009,0.5,27
5/20/2009,2009,0.5,49
5/22/2009,2009,0.333,35
5/24/2009,2009,0.125,41
5/26/2009,2009,0.4,44
5/28/2009,2009,0,37
5/30/2009,2009,0.25,25
4/17/2010,2010,0,24
4/19/2010,2010,0.5,40
4/22/2010,2010,0.5,39
4/25/2010,2010,0.667,37
4/27/2010,2010,0.5,19
5/1/2010,2010,0.5,35
5/3/2010,2010,0,24
5/7/2010,2010,0.667,38
5/9/2010,2010,0,22
5/11/2010,2010,0,15
5/13/2010,2010,0.5,27
4/16/2011,2011,0,21
4/18/2011,2011,1,29
4/21/2011,2011,0.25,24
4/24/2011,2011,0,31
4/27/2011,2011,0.4,16
5/1/2011,2011,0.333,22
5/3/2011,2011,0.5,35
5/7/2011,2011,0,15
5/9/2011,2011,0.333,35
5/11/2011,2011,0.714,33
5/15/2011,2011,0.333,15
5/18/2011,2011,0.333,29
5/22/2011,2011,0.5,22
5/24/2011,2011,0,35
5/26/2011,2011,0.5,28
5/31/2011,2011,0.8,24
6/2/2011,2011,0.286,20
6/5/2011,2011,0.25,17
6/7/2011,2011,0,8
6/9/2011,2011,0,17
6/12/2011,2011,0.4,21
4/28/2012,2012,1,32
4/30/2012,2012,0,19
5/3/2012,2012,0.4,32
5/6/2012,2012,0.4,27
5/9/2012,2012,0.333,29
5/13/2012,2012,0,32
5/15/2012,2012,0,28
5/17/2012,2012,0.25,22
5/22/2012,2012,0.5,30
5/24/2012,2012,0,28
5/28/2012,2012,0,32
5/30/2012,2012,0.333,34
6/1/2012,2012,0.25,34
6/3/2012,2012,0.333,29
6/5/2012,2012,0.333,30
6/7/2012,2012,0.5,45
6/9/2012,2012,0.2,31
6/12/2012,2012,0.333,30
6/14/2012,2012,0,32
6/17/2012,2012,0.25,29
6/19/2012,2012,0.25,26
6/21/2012,2012,0,26
4/21/2013,2013,0.5,27
4/23/2013,2013,0,19
4/25/2013,2013,0.5,22
4/28/2013,2013,0,30
5/6/2013,2013,0.333,24
5/8/2013,2013,0.333,19
5/10/2013,2013,0.5,25
5/13/2013,2013,0.25,27
5/15/2013,2013,0.333,23
5/22/2013,2013,0.333,30
5/24/2013,2013,0.429,36
5/26/2013,2013,0,22
5/28/2013,2013,0.571,24
5/30/2013,2013,0.429,30
6/1/2013,2013,0.5,29
6/3/2013,2013,0.5,32
6/6/2013,2013,0.2,18
6/9/2013,2013,0.333,17
6/13/2013,2013,0.5,33
6/16/2013,2013,0.5,25
6/18/2013,2013,0.2,32
6/20/2013,2013,0.5,37
4/20/2014,2014,0.5,27
4/23/2014,2014,0.2,32
4/26/2014,2014,0.5,30
4/28/2014,2014,0.2,31
5/8/2014,2014,0,22
5/10/2014,2014,0.429,28
5/12/2014,2014,0.5,49
5/14/2014,2014,0.4,29
5/18/2014,2014,0.2,25
5/20/2014,2014,0.2,22
5/24/2014,2014,0.5,26
5/26/2014,2014,0.667,32
5/28/2014,2014,0.333,7
6/5/2014,2014,0.667,25
6/8/2014,2014,1,35
6/10/2014,2014,0.5,22
6/12/2014,2014,0.5,28
6/15/2014,2014,0.333,31
4/19/2015,2015,0.333,20
4/21/2015,2015,0.2,30
4/23/2015,2015,0.2,31
4/26/2015,2015,0.143,27
5/4/2015,2015,0,19
5/6/2015,2015,0,33
5/8/2015,2015,0.143,27
5/10/2015,2015,0.143,25
5/12/2015,2015,0.2,38
5/14/2015,2015,0,15
5/20/2015,2015,0,31
5/22/2015,2015,0.286,30
5/24/2015,2015,0.167,37
5/26/2015,2015,0.333,23
6/4/2015,2015,0.25,44
6/7/2015,2015,0.5,39
6/9/2015,2015,0.333,40
6/11/2015,2015,0.25,20
6/14/2015,2015,0.375,40
6/16/2015,2015,0.2,32
4/17/2016,2016,0,22
4/20/2016,2016,0.5,27
4/22/2016,2016,0.167,20
4/24/2016,2016,0.167,22
5/2/2016,2016,0.5,25
5/4/2016,2016,0.667,27
5/6/2016,2016,0.25,24
5/8/2016,2016,0.2,21
5/17/2016,2016,0,24
5/19/2016,2016,0,23
5/21/2016,2016,0.2,24
5/23/2016,2016,0.333,29
5/25/2016,2016,0.5,23
5/27/2016,2016,0.5,33
6/2/2016,2016,0.5,23
6/5/2016,2016,0.2,19
6/8/2016,2016,0.5,32
6/10/2016,2016,0.2,25
6/13/2016,2016,0.5,41
6/16/2016,2016,0.5,41
6/19/2016,2016,0.2,27
4/15/2017,2017,0.667,32
4/17/2017,2017,0,25
4/20/2017,2017,0.5,41
4/23/2017,2017,0.333,33
5/1/2017,2017,0.4,35
5/3/2017,2017,0.667,39
5/5/2017,2017,0.5,35
5/7/2017,2017,0.417,35
5/17/2017,2017,0.167,38
5/19/2017,2017,0.667,30
5/21/2017,2017,0,11
5/23/2017,2017,0.167,34
5/25/2017,2017,0.571,35
6/1/2017,2017,0.333,28
6/4/2017,2017,0.333,29
6/7/2017,2017,0.444,39
6/9/2017,2017,0.375,31
6/12/2017,2017,0.4,41
4/15/2018,2018,0,24
4/18/2018,2018,0.4,46
4/20/2018,2018,0.571,28
4/22/2018,2018,0,32
4/25/2018,2018,0.25,44
4/27/2018,2018,0.5,22
4/29/2018,2018,0.667,45
5/1/2018,2018,0.125,26
5/3/2018,2018,0.333,43
5/5/2018,2018,0.25,38
5/7/2018,2018,0,29
5/13/2018,2018,0,15
5/15/2018,2018,0.455,42
5/19/2018,2018,1,27
5/21/2018,2018,0.25,44
5/23/2018,2018,0.167,26
5/25/2018,2018,0.714,46
5/27/2018,2018,0.375,35
5/31/2018,2018,0.429,51
6/3/2018,2018,0.5,29
6/6/2018,2018,0.167,33
6/8/2018,2018,0,23
8/18/2020,2020,0.2,23
8/20/2020,2020,0,10
8/22/2020,2020,0.5,38
8/24/2020,2020,0.8,30
8/29/2020,2020,0.571,36
9/4/2020,2020,0.286,20
9/6/2020,2020,0.2,28
9/8/2020,2020,0.444,36
9/10/2020,2020,0,16
9/12/2020,2020,0.375,29
9/18/2020,2020,0,15
9/20/2020,2020,0.375,26
9/22/2020,2020,0.25,30
9/24/2020,2020,0.333,26
9/26/2020,2020,0.25,38
9/30/2020,2020,0.5,25
10/2/2020,2020,0.375,33
10/4/2020,2020,0.2,25
10/6/2020,2020,0.4,28
10/9/2020,2020,0.667,40
10/11/2020,2020,0.2,28
