Season_year,Date,ThreePointPercentage,PTS
2013,Thu 5/16,25,22
2013,Tue 5/14,14.3,9
2013,Sun 5/12,50,22
2013,Fri 5/10,33.3,16
2013,Wed 5/8,33.3,22
2013,Mon 5/6,42.9,44
2013,Thu 5/2,50,22
2013,Tue 4/30,16.7,15
2013,Sun 4/28,54.5,31
2013,Fri 4/26,57.1,29
2013,Tue 4/23,40,30
2013,Sat 4/20,40,19
2014,Sat 5/3,42.9,33
2014,Thu 5/1,25,24
2014,Tue 4/29,57.1,17
2014,Sun 4/27,50,33
2014,Thu 4/24,37.5,16
2014,Mon 4/21,14.3,24
2014,Sat 4/19,33.3,14
2015,Tue 6/16,27.3,25
2015,Sun 6/14,53.8,37
2015,Thu 6/11,57.1,22
2015,Tue 6/9,53.8,27
2015,Sun 6/7,13.3,19
2015,Thu 6/4,33.3,26
2015,Wed 5/27,27.3,26
2015,Mon 5/25,46.2,23
2015,Sat 5/23,77.8,40
2015,Thu 5/21,45.5,33
2015,Tue 5/19,54.5,34
2015,Fri 5/15,61.5,32
2015,Wed 5/13,46.2,18
2015,Mon 5/11,44.4,33
2015,Sat 5/9,20,23
2015,Tue 5/5,18.2,19
2015,Sun 5/3,50,22
2015,Sat 4/25,75,39
2015,Thu 4/23,38.9,40
2015,Mon 4/20,33.3,22
2015,Sat 4/18,30.8,34
2016,Sun 6/19,28.6,17
2016,Thu 6/16,46.2,30
2016,Mon 6/13,33.3,25
2016,Fri 6/10,53.8,38
2016,Wed 6/8,33.3,19
2016,Sun 6/5,50,18
2016,Thu 6/2,37.5,11
2016,Mon 5/30,58.3,36
2016,Sat 5/28,42.9,31
2016,Thu 5/26,37.5,31
2016,Tue 5/24,20,19
2016,Sun 5/22,27.3,24
2016,Wed 5/18,62.5,28
2016,Mon 5/16,42.9,26
2016,Wed 5/11,45.5,29
2016,Mon 5/9,31.3,40
2016,Sun 4/24,14.3,6
2016,Sat 4/16,71.4,24
2017,Mon 6/12,22.2,34
2017,Fri 6/9,22.2,14
2017,Wed 6/7,55.6,26
2017,Sun 6/4,36.4,32
2017,Thu 6/1,54.5,28
2017,Mon 5/22,38.5,36
2017,Sat 5/20,42.9,21
2017,Tue 5/16,66.7,29
2017,Sun 5/14,43.8,40
2017,Mon 4/24,63.6,37
2017,Sat 4/22,35.7,34
2017,Wed 4/19,33.3,19
2017,Sun 4/16,37.5,29
2018,Fri 6/8,46.7,37
2018,Wed 6/6,10,11
2018,Sun 6/3,52.9,33
2018,Thu 5/31,45.5,29
2018,Mon 5/28,46.7,27
2018,Sat 5/26,35.7,29
2018,Thu 5/24,25,22
2018,Tue 5/22,46.2,28
2018,Sun 5/20,41.7,35
2018,Wed 5/16,12.5,16
2018,Mon 5/14,20,18
2018,Tue 5/8,50,28
2018,Sun 5/6,44.4,23
2018,Fri 5/4,33.3,19
2018,Tue 5/1,50,28
2019,Thu 6/13,27.3,21
2019,Mon 6/10,35.7,31
2019,Fri 6/7,22.2,27
2019,Wed 6/5,42.9,47
2019,Sun 6/2,30,23
2019,Thu 5/30,44.4,34
2019,Mon 5/20,43.8,37
2019,Sat 5/18,37.5,36
2019,Thu 5/16,28.6,37
2019,Tue 5/14,60,36
2019,Fri 5/10,36.4,33
2019,Wed 5/8,27.3,25
2019,Mon 5/6,28.6,30
2019,Sat 5/4,22.2,17
2019,Tue 4/30,23.1,20
2019,Sun 4/28,30,18
2019,Fri 4/26,40,24
2019,Wed 4/24,80,24
2019,Sun 4/21,11.1,12
2019,Thu 4/18,66.7,21
2019,Mon 4/15,45.5,29
2019,Sat 4/13,66.7,38
